Date,Company,Industry,Subvertical,City,Investors,Round,Amount,Year,Quarter
6/3/2016,iCliniq,Consumer Internet,Doctor Consultation platform,Bengaluru,MadhanKumar Madathupalayam,Seed Funding,0,2016,2
6/12/2017,Loanmeet,Consumer Internet,Online peer-to-peer lending platform,Bengaluru,Madhusudan E,Seed Funding,0,2017,2
8/22/2016,Zzungry,Consumer Internet,Food Delivery platform,Bengaluru,Madhusudhan Jujare & Others,Seed Funding,0,2016,3
4/16/2018,Pregbuddy,Healthcare,Connected Care App For Pregnant Women,Bengaluru,Madhusudhan Kannan,Seed / Angel Funding,0,2018,2
2/14/2017,GoBumpr,Consumer Internet,Online Bike & Car Services provider,Chennai,Mahalingam K,Seed Funding,2.58,2017,1
4/15/2016,Blue Box Media,Consumer Internet,Online Tech Portals,Jaipur,Mahavir Pratap Sharma,Seed Funding,0,2016,2
4/15/2016,Organicshop,eCommerce,Marketplace for organic products,Jaipur,Mahavir Pratap Sharma,Seed Funding,0,2016,2
12/29/2015,Hotify,New Curation Mobile App,Not unknown,Bengaluru,Mahavir Pratap Sharma,Seed Funding,1.29,2015,4
7/13/2018,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,Mahavir Sharma,Seed/ Angel Funding,1.5,2018,3
3/24/2017,BabyonBoard,Consumer Internet,Parenting Mobile App,Bengaluru,Mahavir Sharma,Seed Funding,0,2017,1
6/22/2016,SpiderG,Consumer Internet,Online invoice app for SMEs,Pune,Mahendra Doshi,Seed Funding,1.29,2016,2
4/8/2016,imedilane,Consumer Internet,Online Health Diagnosis platform,New Delhi,Mahendra Patel,Seed Funding,0.34,2016,2
2/14/2018,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,Mahesh Kothurkar,Private Equity,4.3,2018,1
2/17/2017,The Ken,Consumer Internet,Online Media Platform,Bengaluru,Mahesh Murthy,Seed Funding,3.44,2017,1
2/22/2016,NewsLaundry,Consumer Internet,Independent News Media Portal,New Delhi,Mahesh Murthy,Private Equity,0,2016,1
2/8/2016,Gray Routes,Consumer Internet,Last mile logistics solutions,Mumbai,Mahesh Parasuraman,Seed Funding,0,2016,1
6/16/2015,CouponRaja,Online Coupon & comparison platform,Not unknown,Mumbai,Mahesh Pratapneni,Seed Funding,4.3,2015,2
12/19/2017,9Stacks,Technology,Online Poker Platform,New Delhi,Maheshwar Peri,Private Equity,12.9,2017,4
3/23/2016,eKincare,Consumer Internet,Healthcare related solutions,Hyderabad,Maheshwari Investments Pvt Ltd,Private Equity,2.84,2016,1
10/30/2017,GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra Partners,Private Equity,17.2,2017,4
4/10/2017,Capital Float,Consumer Internet,Online Lending Platform for SME,Bengaluru,Mahindra Partners,Private Equity,19.78,2017,2
10/4/2016,Giftxoxo,eCommerce,Online Gifting platform,Bengaluru,Mahindra Partners,Private Equity,3.87,2016,4
4/6/2017,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Bengaluru,Mahindra Partners,Private Equity,180.6,2017,2
10/3/2016,MeraKisan,eCommerce,Fruit & vegetable eTailer,Bengaluru,Mahindra Partners,Seed Funding,0,2016,4
4/1/2016,Dil Mil,Consumer Internet,Matchmaking Mobile App,Bengaluru,Maiden Lane Ventures,Private Equity,23.22,2016,2
7/26/2018,Bitla Software,Technology,Travel-Focused Tech Startup,Bengaluru,MakeMyTrip,Private Equity,0,2018,3
9/6/2017,GoFro,Consumer Internet,Online travel booking platform,New Delhi,MakeMyTrip,Private Equity,86,2017,3
7/23/2015,HolidayIQ,Travel information portal,Not unknown,Bengaluru,MakeMyTrip,Private Equity,129,2015,3
7/31/2015,Bona Vita,Travel Tech,Not unknown,Gurugram,MakeMyTrip,Private Equity,43,2015,3
8/7/2018,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip,Private Equity,86,2018,3
3/31/2017,Jhakaas,Consumer Internet,Offline Business Aggregator App,Mumbai,Malini Patel,Seed Funding,1.33,2017,1
4/15/2017,Myly,Consumer Internet,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,2.67,2017,2
7/29/2015,trueHb,Medical Tech Instruments,Not unknown,New Delhi,Malvinder and Shivinder Singh,Seed Funding,20.64,2015,3
2/24/2016,NoBroker,Consumer Internet,Peer to peer property listing platform,Bengaluru,Mamoru Taniya,Private Equity,86,2016,1
4/19/2016,CollegeDekho,Consumer Internet,College & Student information platform,New Delhi,Man Capital,Private Equity,17.2,2016,2
2/5/2018,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,Man Capital,Private Equity,17.2,2018,1
12/13/2017,Capita World,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,Mandar Mhatre,Private Equity,0,2017,4
11/28/2015,M-TAXI,Two-Wheeler Taxi Service,Not unknown,Gurugram,Mandeep Singh,Seed Funding,0,2015,4
8/9/2017,TruxApp,Logistics,Mobile based Logistics Service,New Delhi,Mandhian family & Others,Seed Funding,26.66,2017,3
7/7/2015,Wudstay,Budget Accommodation aggregator,Not unknown,Gurugram,Mangroves Capital Partners,Private Equity,25.8,2015,3
10/11/2016,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurugram,Manickam Mahalingam,Seed Funding,4.3,2016,4
8/18/2016,Meesho,eCommerce,Mobile based eCommerce SAAS platform,Bengaluru,Maninder Gulati,Seed Funding,0,2016,3
8/25/2016,WitWorks,Technology,Consumer IoT Startup,Bengaluru,Maninder Gulati,Seed Funding,0,2016,3
12/11/2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,430,2019,4
6/21/2017,Grow Fit,Consumer Internet,Health-Tech platform,Bengaluru,Manipal Education and Medical Group (MEMG),Private Equity,38.7,2017,2
2/10/2016,JoulestoWatts,Technology,IT services & Talent collaboration services startup,Bengaluru,Manipal Global Education Services,Seed Funding,0,2016,1
12/9/2015,Jigsaw Academy,Online School for Analytics learning,Not unknown,Bengaluru,Manipal Global Education Services,Private Equity,25.8,2015,4
5/26/2015,Goodbox,On-Demand Business messaging,Not unknown,Bengaluru,Manipal Group,Seed Funding,1.72,2015,2
9/14/2017,Xprep,Consumer Internet,Online Tutoring Platform,New Delhi,Manish Amin,Private Equity,0,2017,3
9/11/2015,Envoged,pre-used luxury item Marketplace,Not unknown,Mumbai,Manish Dhingra,Seed Funding,0,2015,3
8/5/2015,LetsTransport,Logistics Tech Platform,Not unknown,Bengaluru,Manish Dhingra,Seed Funding,11.18,2015,3
8/19/2015,Envoged,pre-owned Luxury online apparel seller,Not unknown,Mumbai,Manish Dhingra,Seed Funding,0,2015,3
6/29/2015,Zimmber,Hyperlocal Handyman Services,Not unknown,Mumbai,Manish Dugar,Seed Funding,3.44,2015,2
7/17/2015,Omnikart,Industrial Supplies B2B ecommerce,Not unknown,Mumbai,Manish Gandhi,Seed Funding,0.86,2015,3
11/24/2015,ServX,Automotive Services platform,Not unknown,New Delhi,Manish Gupta,Seed Funding,0,2015,4
5/9/2016,Rentickle,eCommerce,"Furniture, appliances Portal",New Delhi,Manish Kheterpal,Seed Funding,2.15,2016,2
11/30/2015,Baxi,Two-Wheeler Taxi Service,Not unknown,Gurugram,Manish Kheterpal,Seed Funding,12.47,2015,4
6/23/2015,EduKart,Online education marketplace,Not unknown,New Delhi,Manish Kheterpal,Private Equity,8.6,2015,2
11/28/2016,WholeSaleBox,eCommerce,B2B Wholesale Apparel Marketplace,Jaipur,Manish Maheshwari,Private Equity,17.2,2016,4
11/2/2017,Prest Loans,Finance,Business & SME Loans provider,New Delhi,Manish Poddar,Seed Funding,4.9,2017,4
6/9/2017,Guiddoo,Consumer Internet,Travel & adventure planning platform,Mumbai,Manish Prasad,Seed Funding,2.58,2017,2
2/15/2016,RentSher,Consumer Internet,Online Household Product Rental platform,Bengaluru,Manish Shah,Seed Funding,2.58,2016,1
8/28/2015,BetterButter.in,online recipe sharing platform,Not unknown,New Delhi,Manish Singhal,Seed Funding,0,2015,3
8/31/2015,DropKaffe,Online Coffee Delivery platform,Not unknown,Bengaluru,Manish Singhal,Seed Funding,2.58,2015,3
9/22/2015,The Man Company,Content-based Subscription eCommerce platform,Not unknown,New Delhi,Manish Vij,Seed Funding,0,2015,3
10/14/2015,GymTrekker,Gym Discovery platform,Not unknown,Mumbai,Manisha Gupta,Seed Funding,0,2015,4
3/4/2016,Civilsdaily,Consumer Internet,Civil Services News Aggregator,New Delhi,Manoj Kumar & Other undisclosed investors,Seed Funding,0,2016,1
8/15/2016,Buttercups,ECommerce,Women Intimate Wear eTailer,Bengaluru,Manoj Varghese,Seed Funding,0,2016,3
6/30/2015,Buttercups,Online Lingerie platform,Not unknown,Bengaluru,Manoj Varghese,Seed Funding,0,2015,2
10/16/2015,BolRealty,Real Estate Insights platform,Not unknown,New Delhi,Manpreet Singh,Seed Funding,0,2015,4
9/30/2015,Eywa Media,Digital Signal processing platform,Not unknown,Bengaluru,Mantra Ventures,Seed Funding,8.6,2015,3
1/1/2016,Smartcooky,ECommerce,Health Food / Personal Care Marketplace,New Delhi,Manvinder Singh Banga,Seed Funding,0,2016,1
6/29/2015,AdWyze,Marketing / Advertising Automation platform,Not unknown,Bengaluru,Mape Advisory,Seed Funding,8.6,2015,2
7/12/2017,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,MAPE Advisory Group,Private Equity,0,2017,3
4/12/2017,TinMen,Consumer Internet,Food Delivery Platform,Hyderabad,MAPE Advisory Group,Seed Funding,0,2017,2
11/11/2015,Delight Foods,Branded Food products online sales,Not unknown,Bengaluru,Mape Advisory Group,Private Equity,5.16,2015,4
1/29/2016,N.O.W,Consumer Internet,Rental Bike Aggregator App,Noida,Maple Capital Advisors,Seed Funding,0,2016,1
6/2/2016,Visit,Consumer Internet,On-Demand Healthcare Service provider,New Delhi,MapmyIndia,Seed Funding,0,2016,2
1/13/2016,CarTrade,Consumer Internet,Auto Classifieds Portal,Mumbai,March Capital,Private Equity,1247,2016,1
8/13/2019,Uniphore,Customer Service Platform,Conversational AI,India,March Capital Partners,Series C,438.6,2019,3
7/1/2019,Uniphore,Artificial Intelligence,Speech Recognition,Chennai,March Capital Partners,Series C,327.49,2019,3
1/5/2017,Yostra,Technology,Healthcare Technology Solutions,Bengaluru,Marico Innovation Foundation (MIF),Private Equity,0,2017,1
9/12/2016,Nykaa,eCommerce,Online Beauty products eTailer,Mumbai,Mariwala family,Private Equity,105.78,2016,3
6/3/2015,Entropy Innovations,Engineering Innovations,Not unknown,Mumbai,Mark Mobius & 9 Other Angel investors,Seed Funding,0,2015,2
6/23/2017,Loan Tap,Consumer Internet,Lending platform for salaried professionals,Mumbai,MAS Financial Services Ltd,Private Equity,34.4,2017,2
1/4/2019,Samunnati,Finance,Non-banking financial company,Chennai,MASSIF,Debt-Funding,43,2019,1
7/1/2016,RazorPay,Consumer Internet,Online Payment Gateway,Bengaluru,MasterCard,Private Equity,0,2016,3
4/1/2017,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,Mathew Cyriac,Private Equity,32.68,2017,2
3/15/2017,LatestOne,eCommerce,Tech Accessories e-tailer,Hyderabad,Mathew Cyriac,Private Equity,28.81,2017,1
1/11/2016,Wishup,Consumer Internet,Mobile app based Concierge Service,New Delhi,Mato Peric,Seed Funding,0,2016,1
10/7/2015,Stalk Buy Love,Online Apparels Fashion brand,Not unknown,New Delhi,Mato Peric,Private Equity,0,2015,4
9/28/2015,Quickli,hyperlocal delivery platform,Not unknown,New Delhi,Mato Peric & Others,Seed Funding,0,2015,3
4/9/2018,Elemential,Technology,Blockchain Platform,Mumbai,Matrix Partners,Seed / Angel Funding,0,2018,2
11/15/2019,Vogo,Last Mile Transportation,Scooter sharing app,Bengaluru,Matrix Partners,Series B,2433.8,2019,4
6/3/2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,77.4,2019,2
3/14/2018,Avail Finance,Consumer Internet,Online Lending Platform,Bengaluru,Matrix Partners,Private Equity,147.92,2018,1
12/14/2017,Transversal Technologies,Technology,Hyperlocal Video Information Sharing Platform,Bengaluru,Matrix Partners,Private Equity,51.6,2017,4
11/9/2017,Tilite Technologies Pvt. Ltd,Technology,Saas based Corporate Travel Management Solution,Bengaluru,Matrix Partners,Seed Funding,0,2017,4
11/28/2017,Stanza Living,Technology,Student accommodation platform,New Delhi,Matrix Partners,Private Equity,17.2,2017,4
9/7/2017,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,43,2017,3
6/21/2017,Mswipe,Technology,Point-of-Sale services,Mumbai,Matrix Partners,Private Equity,266.6,2017,2
5/30/2017,Loadshare,Logistics,Express Logistics Network,Bengaluru,Matrix Partners,Seed Funding,0,2017,2
4/26/2017,Myra,Consumer Internet,Online Pharmacy,Bengaluru,Matrix Partners,Private Equity,0,2017,2
12/13/2016,OfBusiness,eCommerce,Online business-to-business (B2B) marketplace,Gurugram,Matrix Partners,Private Equity,95.46,2016,4
10/15/2016,Daily hunt,Consumer Internet,Vernacular content mobile app,Bengaluru,Matrix Partners,Private Equity,215,2016,4
5/10/2016,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,Matrix Partners,Private Equity,12.9,2016,2
5/13/2016,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,Matrix Partners,Private Equity,116.1,2016,2
12/16/2015,Housejoy,Home services marketplace,Not unknown,Bengaluru,Matrix Partners,Private Equity,193.5,2015,4
10/26/2015,RazorPay,Online Payment Gateway,Not unknown,Jaipur,Matrix Partners,Private Equity,77.4,2015,4
10/30/2015,TinyOwl,Food Discovery & Delivery Mobile app,Not unknown,Mumbai,Matrix Partners,Private Equity,64.5,2015,4
8/6/2015,Practo,Doctor Appointment booking app,Not unknown,Bengaluru,Matrix Partners,Private Equity,774,2015,3
6/19/2015,Housejoy,Home services marketplace,Not unknown,Bengaluru,Matrix Partners,Private Equity,34.4,2015,2
9/5/2019,FPL Technologies,FinTech,Financial Services,Pune,Matrix Partners,Maiden Round,38.7,2019,3
11/7/2017,DocTalk,Technology,Doctor Patient Communication platform,Mumbai,Matrix Partners,Private Equity,43,2017,4
10/24/2017,ZipLoan,Consumer Internet,SME lending platform,New Delhi,Matrix Partners,Private Equity,25.8,2017,4
4/3/2017,TestBook,Consumer Internet,Online Test Preparation Platform,Mumbai,Matrix Partners,Private Equity,0,2017,2
7/15/2016,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,Matrix Partners,Private Equity,51.6,2016,3
3/8/2016,Finomena,Technology,Credit Worthiness Big Data Analytics,New Delhi,Matrix Partners,Private Equity,0,2016,1
2/25/2016,OfBusiness,eCommerce,B2B commerce Marketplace,Gurugram,Matrix Partners,Private Equity,43,2016,1
6/23/2015,Treebo,Online Budget Hotel Booking Service,Not unknown,Bengaluru,Matrix Partners,Private Equity,51.6,2015,2
4/9/2015,Purple Squirrel,Ed-Tech,Not unknown,Mumbai,Matrix Partners,Private Equity,0,2015,2
7/17/2018,Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,Matrix Partners,Private Equity,249.4,2018,3
3/4/2016,TinyStep,Consumer Internet,Parenting Social Network Platform,Bengaluru,Matt Glickman,Private Equity,0,2016,1
1/12/2016,Hike Messenger,Consumer Internet,P2P Messaging Service,New Delhi,Matt Mullenweg,Private Equity,0,2016,1
4/27/2018,1mg,Consumer Internet,Online Pharmacy Store,Gurugram,Maverick Capital Ventures,Private Equity,86,2018,2
7/27/2017,1mg,eCommerce,Online Pharmacy,Gurugram,Maverick Capital Ventures,Private Equity,129,2017,3
4/20/2016,1mg,eCommerce,Online Pharmacy,Gurugram,Maverick Capital Ventures,Private Equity,129,2016,2
4/26/2016,Cleartax,Consumer Internet,Online filing of Tax returns,Bengaluru,Max Levchin,Private Equity,11.18,2016,2
12/9/2016,Nykaa,eCommerce,Beauty Products etailer,Mumbai,Max Ventures and Industries,Private Equity,0,2016,4
10/23/2015,Frsh,Online food ordering & Delivery service,Not unknown,Gurugram,Mayank Bhangdia,Private Equity,8.6,2015,4
7/21/2017,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurugram,Mayank Mittal & Others,Seed Funding,1.72,2017,3
10/15/2016,MyKindofJob,Consumer Internet,Internet & Fresher Job platform,Mumbai,Mayank Shah,Seed Funding,8.6,2016,4
1/4/2016,B9 Beverages,Food & Beverage,Craft Beer manufacturing company,New Delhi,Mayank Singhal,Private Equity,51.6,2016,1
9/30/2015,FirstTouch,Local Mobile OS,Not unknown,Gurugram,Mayank Singhal,Seed Funding,0,2015,3
9/29/2015,Hugefly,Ecommerce Product recommendation platform,Not unknown,Pune,Mayank Singhal,Seed Funding,0,2015,3
4/12/2017,Emiza,Logistics,Third Party Logistics provider,Mumbai,Mayfield,Private Equity,38.7,2017,2
7/8/2015,Lending Kart,Online Finance lending platform,Not unknown,Ahmedabad,Mayfield,Private Equity,86,2015,3
9/11/2018,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,Mayfield,Private Equity,43,2018,3
9/6/2017,Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,Mayfield,Private Equity,92.45,2017,3
11/12/2018,Milk Basket,Food,Micro-delivery grocery service,New Delhi,Mayfield,Series B,11.18,2018,4
3/29/2017,Licious,ECommerce,Online Meat Ordering platform,Bengaluru,Mayfield,Private Equity,86,2017,1
1/10/2017,Securens,Technology,e-surveillance services provider,Mumbai,Mayfield,Private Equity,43,2017,1
6/28/2016,Lending Kart,Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,Mayfield,Private Equity,275.2,2016,2
2/22/2016,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,Mumbai,Mayfield,Private Equity,38.7,2016,1
4/16/2015,Taskbob,OnDemand\\nMobile Handyman Services,Not unknown,Mumbai,Mayfield,Seed Funding,10.32,2015,2
4/22/2016,Licious,eCommerce,Mobile based Meat ordering App,Bengaluru,Mayfield,Private Equity,25.8,2016,2
10/24/2016,Box8,Consumer Internet,Online Food Ordering platform/App,Mumbai,Mayfield,Private Equity,64.5,2016,4
6/24/2016,LEAP India,Others,Supply Chain Equipment & Services provider,Mumbai,Mayfield,Private Equity,25.8,2016,2
5/7/2015,Box8,Online Food Delivery,Not unknown,Mumbai,Mayfield,Private Equity,30.1,2015,2
4/23/2015,Simplilearn,Online Certification Courses,Not unknown,Bengaluru,Mayfield,Private Equity,129,2015,2
9/1/2017,MFine,Consumer Internet,Online Doctor Discovery platform,Bengaluru,Mayur Abhaya,Private Equity,12.9,2017,3
5/24/2016,Eatonomist,Consumer Internet,Food Delivery Platform,Gurugram,MCube Capital Advisors Pvt Ltd,Seed Funding,0,2016,2
6/14/2016,Gobolt,Logistics,B2B Logistics provider,New Delhi,MCube8,Seed Funding,0,2016,2
7/4/2018,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,34.4,2018,3
12/22/2015,MobieFit,Mobile Fitness App,Not unknown,Panaji,Medi Assist,Private Equity,8.6,2015,4
11/28/2017,MobieFit,Healthcare,Health and fitness based mobile App,Panaji,MediAssist,Seed/Angel Funding,11.61,2017,4
5/3/2016,MobiKwik,Consumer Internet,Mobile & Digital Wallet,Gurugram,MediaTek,Private Equity,430,2016,2
8/30/2016,Paytm,eCommerce,Mobile Wallet & ECommerce platform,Bengaluru,MediaTek Inc.,Private Equity,516,2016,3
3/30/2017,Emflux Motors,Technology,Electric Motorcycle manufacturer,Bengaluru,Meet Kanodia,Seed Funding,0,2017,1
3/30/2017,Emflux Motors,Technology,Electric Motorcycle manufacturer,Bengaluru,Meher Roy,Seed Funding,0,2017,1
9/25/2017,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding,1.29,2017,3
6/16/2017,Goodbox,eCommerce,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,Bengaluru,Mekin Maheshwari,Private Equity,8.6,2017,2
6/22/2017,Explore Life traveling,Consumer Internet,Local homes booking platform,Bengaluru,Mekin Maheshwari,Seed Funding,4.3,2017,2
8/16/2016,Makkajai,Technology,Online & Mobile learning for kids,Pune,Mekin Maheshwari,Seed Funding,2.15,2016,3
2/8/2016,Hansel.io,Technology,Mobile App Tech Solutions,Bengaluru,Mekin Maheshwari,Seed Funding,0,2016,1
11/21/2017,Portea Medical,Healthcare,Healthcare facilities at doorstep,Bengaluru,MEMG CDC,Private Equity,223.6,2017,4
2/26/2018,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,MEMG Family Office,Private Equity,8.94,2018,1
1/17/2017,Curiositi,Consumer Internet,Online Learning Platform,Bengaluru,Menterra Social Impact Fund,Private Equity,6.88,2017,1
11/30/2016,Math Buddy,Consumer Internet,Online Math Learn,Vadodara,Menterra Social Impact Fund,Seed Funding,3.78,2016,4
6/19/2018,Chrysalis,Ed-Tech,Education Services Provider,Pune,Menterra Venture & Artha Initiatives,Seed/ Angel Funding,0,2018,2
4/6/2015,InstaLively,Video Streaming,Not unknown,New Delhi,MeraEvents.,Seed Funding,1.03,2015,2
6/24/2015,Retention.ai,App Analytics platform,Not unknown,Bengaluru,Mercury Fund,Seed Funding,4.3,2015,2
2/8/2018,Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,430,2018,1
1/4/2016,Career360,Education,College Education Portal,New Delhi,MeritTrac,Private Equity,0,2016,1
7/23/2018,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,Metaform Ventures,Seed/ Angel Funding,3.75,2018,3
8/13/2018,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,MGV,Private Equity,68.8,2018,3
2/13/2018,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bengaluru,Michael & Susan Dell Foundation,Private Equity,116.1,2018,1
3/7/2017,Blowhorn,Consumer Internet,Intra-City Logistics provider,Bengaluru,Michael & Susan Dell Foundation,Private Equity,31.39,2017,1
2/17/2016,Avanti Learning,Education,Private Coaching Classes,New Delhi,Michael & Susan Dell Foundation,Private Equity,43,2016,1
11/9/2015,iStar Skill Development,Skill Training Startup,Not unknown,Bengaluru,Michael & Susan Dell Foundation,Private Equity,12.9,2015,4
4/22/2015,Avanti Learning,Private Coaching Centers,Not unknown,New Delhi,Michael & Susan Dell Foundation,Private Equity,12.9,2015,2
9/5/2017,Nest Education,Technology,EduTech Platform,Gurugram,Michael and Susan Dell Foundation,Seed Funding,5.16,2017,3
8/24/2016,Convegenius,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,7.74,2016,3
1/19/2016,Villgro,Finance,Social Business Incubator & Fund,Chennai,Michael and Susan Dell Foundation,Private Equity,30.1,2016,1
10/5/2015,Nykaa,Beauty & Wellness Products e-tailer,Not unknown,Mumbai,Michael Carlos,Private Equity,81.7,2015,4
10/30/2016,Impact Analytics,Technology,Business intelligence and data science Startup,Bengaluru,Michael Herzig,Private Equity,6.45,2016,4
3/1/2016,IQlect,Technology,Big Data Analytics Platform,Bengaluru,Michael Marks,Private Equity,0,2016,1
2/15/2018,PetSutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Seed / Angel Funding,1.28,2018,1
7/23/2018,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,Micro venture capital firm GEMS Partners and Others,Seed/ Angel Funding,3.75,2018,3
1/14/2016,Zapr,Technology,TV to Mobile audience Platform,Gurugram,Micromax,Seed Funding,0,2016,1
4/26/2016,Transerve,Consumer Internet,Digital Payments platform,Mumbai,Micromax,Private Equity,129,2016,2
10/7/2015,Scandid,Product Discovery & comparison App,Not unknown,Pune,Micromax,Private Equity,0,2015,4
6/22/2015,Ixigo,Travel Search Engine,Not unknown,Gurugram,Micromax,Private Equity,0,2015,2
5/8/2015,HealthifyMe,Health & Fitness App,Not unknown,Bengaluru,Micromax,Private Equity,0,2015,2
10/14/2015,Gaana,Music Streaming mobile app,Not unknown,Mumbai,Micromax,Private Equity,0,2015,4
3/21/2017,Flipkart,eCommerce,ECommerce Marketplace,Bengaluru,Microsoft,Private Equity,12040,2017,1
6/7/2016,HelpShift,Technology,Mobile CRM Platform,Pune,Microsoft Ventures,Private Equity,197.8,2016,2
11/9/2015,AppVirality,Mobile Growth Hacking\\nPlatform,Not unknown,Hyderabad,Mike Galgon,Seed Funding,4.3,2015,4
4/10/2019,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,54.36,2019,2
11/30/2016,Entropika,Technology,"AI, Machine learning Solutions",Bengaluru,Milind Chaudhary,Seed Funding,1.72,2016,4
9/5/2016,Social Quotient,Technology,Platform for Social Causes,Mumbai,Milind Sarwate,Seed Funding,0,2016,3
8/18/2015,HyperVerge,Deep Learning Cloud Algorithms,Not unknown,Chennai,Milliways Ventures,Seed Funding,8.6,2015,3
7/8/2015,Hopping Chef,Online Food-Tech Platform,Not unknown,Mumbai,Mirah Hospitality,Seed Funding,4.04,2015,3
4/11/2017,Ninjacart,eCommerce,B2B agri-marketing platform,Bengaluru,Mistletoe,Private Equity,47.3,2017,2
10/4/2016,InnerChef,Consumer Internet,Online food ordering platform,Gurugram,Mistletoe,Private Equity,21.5,2016,4
5/28/2018,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,Mitali Pawar,Seed/ Angel Funding,1.72,2018,2
11/25/2016,Hubilo,Consumer Internet,End-to-end Event Organizers Solutions,Ahmedabad,Miten Mehta,Seed Funding,0,2016,4
12/10/2015,Paynear,Mobile Point of Sale solutions,Not unknown,Hyderabad,Mitesh Majithia,Private Equity,21.5,2015,4
1/30/2018,PeeSafe,Healthcare,Hygiene,Gurugram,Mitesh Shah,Private Equity,8.6,2018,1
4/18/2016,Houssup,Consumer Internet,interior design and home furnishing portal,Jaipur,Mitin Patel,Seed Funding,0,2016,2
4/28/2015,Naaptol,Tele-Shopping / eCommerce,Not unknown,Mumbai,Mitsui & Co.,Private Equity,184.9,2015,2
7/10/2017,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,25.8,2017,3
11/24/2015,Naaptol,Online and TV Shopping Marketplace,Not unknown,Mumbai,Mitsui & Co.,Private Equity,447.2,2015,4
12/7/2016,WealthApp,Consumer Internet,Online Investment Advisory platform,Bengaluru,MJ Aravind,Seed Funding,3.78,2016,4
10/20/2016,Hipcask,Consumer Internet,Alcoholic beverage discovery platform,Mumbai,Mobikon,Seed Funding,0,2016,4
12/2/2015,RoomsTonite,Last Minute Hotel Booking App,Not unknown,Bengaluru,Mohammed Bin Abdul Rehman Al Khalifa,Seed Funding,12.9,2015,4
2/16/2018,Fincash,Finance,Fin-Tech,Mumbai,Mohammed Khan,Seed / Angel Funding,1.29,2018,1
6/16/2017,Fincash,Consumer Internet,Personal Finance platform,Mumbai,Mohammed Khan,Seed Funding,0.86,2017,2
6/8/2017,Stockal,Consumer Internet,App-based Investment advisory Services,Bengaluru,Mohan Alexander,Seed Funding,3.01,2017,2
10/21/2015,Stockal,Personalized Stock Intelligence Platform,Not unknown,Bengaluru,Mohan Alexander,Seed Funding,0,2015,4
12/7/2016,Tailslife,Consumer Internet,Pet Parenting mobile app,Bengaluru,Mohan Kumar,Seed Funding,0,2016,4
12/13/2017,Capita World,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,Mohan Tanksale,Private Equity,0,2017,4
3/31/2016,SwitchMe,Consumer Internet,Home Loan Rate comparison platform,Mumbai,Mohandas Pai,Seed Funding,0,2016,1
2/18/2016,Tracxn,Technology,Indian Startup ecosystem trends analyzer & funding platform,Bengaluru,Mohandas Pai,Private Equity,0,2016,1
