Date,Company,Industry,Subvertical,City,Investors,Round,Amount,Year,Quarter
7/6/2017,Minjar,Technology,Cloud Solutions provider,Bengaluru,Emergent Ventures,Seed Funding,0,2017,3
6/5/2017,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,430,2017,2
4/29/2018,Rubique,Consumer Internet,Online Lending MarketPlace,Mumbai,Emery Capital,Private Equity,0,2018,2
7/8/2015,Zoomcar,Self-driven vehicle rental,Not unknown,Bengaluru,Empire Angels,Private Equity,94.6,2015,3
11/17/2015,Convegenius,Mobile Learning Solutions,Not unknown,Noida,Enablers platform,Seed Funding,2.58,2015,4
9/4/2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,8.6,2019,3
6/26/2018,SigTuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,Endiya Partners,Private Equity,163.4,2018,2
3/22/2018,Slang Labs,Technology,Voice-based assistant platform,Bengaluru,Endiya Partners,Seed / Angel Funding,10.66,2018,1
1/29/2018,eKincare,Healthcare,Technology,Hyderabad,Endiya Partners,Private Equity,12.9,2018,1
6/19/2017,DarwinBox,Technology,Enterprise human resources management platform,Hyderabad,Endiya Partners,Private Equity,34.4,2017,2
6/22/2017,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,Endiya Partners,Private Equity,17.2,2017,2
3/2/2017,Celes Care,Consumer Internet,Women Healthcare & Information portal,Hyderabad,Endiya Partners,Private Equity,12.9,2017,1
2/13/2017,SigTuple,Technology,Medical Automation platform,Bengaluru,Endiya Partners,Private Equity,49.88,2017,1
1/12/2017,Hansel.io,Consumer Internet,Real-time Mobile App Management Platform,Bengaluru,Endiya Partners,Private Equity,11.61,2017,1
9/28/2016,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed Funding,8.6,2016,3
7/1/2016,DarwinBox,Technology,HR Software Services Startup,Hyderabad,Endiya Partners,Seed Funding,0,2016,3
2/8/2016,Hansel.io,Technology,Mobile App Tech Solutions,Bengaluru,Endiya Partners,Seed Funding,0,2016,1
6/2/2015,Karma Healthcare,Tech-enabled Rural Healthcare Services,Not unknown,Udaipur,Ennovent Impact Investment Holding,Private Equity,0,2015,2
3/9/2016,SmartVizX,Technology,Virtual Reality Solutions,Noida,Entrepreneurs India,Seed Funding,4.3,2016,1
12/10/2015,PropheSee,Digital Analytics Platform,Not unknown,New Delhi,Entrepreneurs India,Seed Funding,4.3,2015,4
10/6/2017,Farm Taaza,Technology,Fresh Produce SCM company,Bengaluru,Epsilon Venture Partners,Private Equity,68.8,2017,4
12/16/2016,Pi Data Centers,Technology,Cloud Data Center Solutions provider,Hyderabad,Epsilon Venture Partners,Private Equity,197.8,2016,4
6/25/2018,Sqqrl,Finance,App-based investment platform,Gurugram,Equanimity Venture Fund,Seed/ Angel Funding,8.6,2018,2
5/28/2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Venture Fund,Seed Round,1204,2019,2
4/4/2016,Roll Mafia,Food & Beverage,Rolls & Biryanis QSR chain,Pune,Equentia Natural Resources,Seed Funding,0,2016,2
8/28/2015,Roll Mafia,QSR Restaurant Chain,Not unknown,Pune,Equentia Natural Resources,Seed Funding,1.38,2015,3
1/12/2016,Happy2Refer,Consumer Internet,Mobile based Referral Platform,Mumbai,Equity Crest,Seed Funding,2.15,2016,1
12/7/2016,LookAtMe,Consumer Internet,Mobile App based Fashion Network,India,Eros Labs,Seed Funding,0,2016,4
9/7/2016,Alternacare,Consumer Internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed Funding,4.3,2016,3
6/27/2017,Spares Hub,eCommerce,Automobile parts marketplace,Pune,Esvee Technologies Inc,Seed Funding,2.67,2017,2
10/27/2016,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bengaluru,Eureka Forbes Ltd,Private Equity,6.02,2016,4
10/13/2015,Lookup,Mobile Messaging Assistant App,Not unknown,Bengaluru,European investment fund,Private Equity,21.5,2015,4
1/10/2017,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,Bengaluru,Evan Lim,Seed Funding,0.86,2017,1
8/1/2016,Medinfi,Consumer Internet,Doctor & Clinic\\xc2\\xa0 Discovery Platform,Bengaluru,Evan Lim,Seed Funding,1.72,2016,3
6/14/2016,EdTechReview,Consumer Internet,Education based online portal,New Delhi,EVC Ventures,Seed Funding,0,2016,2
4/27/2016,Milk Basket,Consumer Internet,Micro Grocery Delivery Platform,Gurugram,EVC Ventures,Seed Funding,4.3,2016,2
7/12/2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,Excelsior Investments,Seed/ Angel Funding,1.55,2018,3
4/2/2018,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,Exfinity Venture,Private Equity,17.2,2018,2
9/4/2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,43,2019,3
4/18/2017,Absentia VR,Technology,Virtual Reality Startup,Bengaluru,Exfinity Venture Partners,Private Equity,10.75,2017,2
11/30/2016,MarianaIQ,Technology,AI-driven B2B marketing platform,Bengaluru,Exfinity Venture Partners,Private Equity,17.2,2016,4
